student_id,year,semester,institution,course_number,credits,grade,course_description
4181142,2019,FALL,utexas,M408C,4,A-,"Introduction to the theory and applications of differential and integral calculus of functions of one variable; topics include limits, continuity, differentiation, the mean value theorem and its applications, integration, the fundamental theorem of calculus, and transcendental functions."
4181142,2019,FALL,utexas,CH301,3,B,Principles of Chemistry I
4181142,2019,FALL,utexas,ME302,3,A,"Introduction to mechanical engineering education and practice through lectures and laboratory experiences. Graphics and modeling fundamentals for engineering design: freehand sketching, computer modeling of solid geometry, and generation of engineering drawings. Introduction to reverse engineering, computer-aided design, rapid prototyping, and manufacturing. Application of the design process and problem solving through individual and team projects."
4181142,2019,FALL,utexas,ME177K,1,A,"Independent project carried out under the supervision of a faculty member in mechanical engineering. Student prepares a project proposal and a final report, each of which is evaluated by the faculty committee on individual projects."
4181142,2019,FALL,utexas,ARH301,3,A,A broad survey of selected traditions of art with an emphasis upon understanding their visual elements and cultural significance.
4181142,2019,FALL,utexas,RHE306,3,CR,An introductory writing course that includes instruction in practical reasoning and the principles of rhetoric.
4181142,2019,FALL,utexas,HIS315L,3,CR,Survey of United States history since the Civil War.
4181142,2019,FALL,utexas,GOV310L,3,CR,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the United States and Texas Constitutions."
4181142,2019,FALL,utexas,ECO301,3,CR,"Introduction to the structure and functioning of the aggregate economy and specific markets, including the labor market, housing market, and financial markets. Basic concepts of market regulation and monetary and fiscal policy. Concepts used in the social and behavioral sciences for measuring and interpreting economic data."
4181142,2019,FALL,utexas,E316P,3,CR,"Introduction to masterpieces of literature, emphasizing historical, generic, and thematic connections."
4181142,2019,FALL,utexas,ES122,1,CR,"Small-group seminar involving reading, discussion, and oral reports."
4181142,2020,SPRING,utexas,M408D,4,A,"Certain sections of this course are designated as advanced placement or honors sections; they are restricted to students who have scored well on the Advanced Placement Calculus BC exam or have the consent of the mathematics adviser. This is the second semester of the accelerated calculus sequence. The theory and applications of sequences and infinite series, including those involving functions of one variable, and an introduction to the theory and applications of differential and integral calculus of functions of several variables; subjects include methods of integration, parametric equations, sequences, infinite series, power series, functions of several variables, partial derivatives, and multiple integrals."
4181142,2020,SPRING,utexas,PHY303K,3,A,"A general survey of physics; primarily laws of motion, heat, and wave phenomena."
4181142,2020,SPRING,utexas,PHY103M,1,A-,Laboratory for Physics 303K
4181142,2020,SPRING,utexas,UGS302,3,A,"Restricted to first-year students. Seminar class focusing on a contemporary issue. Designed to introduce undergraduates to scholarly analysis from an interdisciplinary perspective. Includes an introduction to University resources, such as research facilities, museums, and attendance at University lectures or performances as assigned. Multiple sections may be offered in the fall and spring with various topics and instructors."
4181142,2020,SPRING,utexas,GOV312L,3,CR,"Analysis of underlying themes concerned with American political institutions and policies, including the United States Constitution."
4181142,2020,SPRING,utexas,E S 122,1,CR,"Small-group seminar involving reading, discussion, and oral reports."
4181142,2020,SPRING,utexas,GE208K,2,CR,Restricted to engineering majors. Development of problem-solving skills in the material covered in_hysics 303K.
4181142,2020,SUMMER,utexas,PHY303L,3,A,"Electricity and magnetism, optics, and atomic phenomena."
4181142,2020,SUMMER,utexas,PHY103N,1,A,Laboratory for Physics 303L
4181142,2020,SUMMER,utexas,HISf315K,3,A,Survey of United States history from the colonial period through the Civil War.
4181142,2020,SUMMER,utexas,M427J,4,A,"Ordinary differential equations, introduction to vector spaces, linear operators and eigenvalues, systems of linear differential equations, introduction to partial differential equations and Fourier series."
