student_id,year,semester,institution,course_number,credits,grade,course_description,department,course_title,record_source
4181142,2019,FALL,utexas,ARH301,3,A,A broad survey of selected traditions of art with an emphasis upon understanding their visual elements and cultural significance.,ARH,ARH301,raw_cleaned
4181142,2019,FALL,utexas,CH301,3,B,"First semester general chemistry for science and engineering students, covering atomic structure, bonding, stoichiometry, and thermochemistry.",CH,General Chemistry I,raw_cleaned
4181142,2019,FALL,utexas,CH301,3,CR,"First semester general chemistry for science and engineering students, covering atomic structure, bonding, stoichiometry, and thermochemistry.",CH,General Chemistry I,raw_cleaned
4181142,2019,FALL,utexas,E316P,3,CR,"Introduction to masterpieces of literature, emphasizing historical, generic, and thematic connections. Three lecture hours a week for one semester. Some sections require an additional hour a week. Prerequisite: One of the following: English 303C, Rhetoric and Writing 306, 306Q, 309J (or 309K), or Tutorial Course 303C.",E,E316P,raw_cleaned
4181142,2019,FALL,utexas,ECO301,3,CR,"Introduction to the structure and functioning of the aggregate economy and specific markets, including the labor market, housing market, and financial markets. Basic concepts of market regulation and monetary and fiscal policy. Concepts used in the social and behavioral sciences for measuring and interpreting economic data.",ECO,ECO301,raw_cleaned
4181142,2019,FALL,utexas,ECO304K,3,CR,"Analysis of the economic behavior of individual consumers, firms, and workers. Demand, supply, and market equilibrium. Impact of taxes, externalities, and market power on equilibrium.",ECO,ECO304K,raw_cleaned
4181142,2019,FALL,utexas,ES122,1,CR,"Small-group seminar involving reading, discussion, and oral reports.",ES,ES122,raw_cleaned
4181142,2019,FALL,utexas,GOV310L,3,CR,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the United States and Texas Constitutions.",GOV,GOV310L,raw_cleaned
4181142,2019,FALL,utexas,HIS315L,3,CR,Survey of United States history since the Civil War. Three lecture hours or two lecture hours and one discussion hour a week for one semester.,HIS,HIS315L,raw_cleaned
4181142,2019,FALL,utexas,M408C,4,A-,"Introduction to the theory and applications of differential and integral calculus of functions of one variable; topics include limits, continuity, differentiation, the mean value theorem and its applications, integration, the fundamental theorem of calculus, and transcendental functions.",M,M408C,raw_cleaned
4181142,2019,FALL,utexas,ME177K,1,A,"Independent project carried out under the supervision of a faculty member in mechanical engineering. Student prepares a project proposal and a final report, each of which is evaluated by the faculty committee on individual projects. For 177K, three to five laboratory hours and one consultation hour with the faculty supervisor a week for one semester; for 277K, five to ten laboratory hours and one consultation hour with the faculty supervisor a week for one semester; for 377K, ten to fifteen laboratory hours and one consultation hour with the faculty supervisor a week for one semester. Only one of the following may be counted: Mechanical Engineering 325L, 362K, 371K, 177K, 277K, 377K. Prerequisite: A University grade point average of at least 2.50 and a grade point average in the major of at least 2.50; and approval of project proposal by the faculty committee on individual projects.",ME,ME177K,raw_cleaned
4181142,2019,FALL,utexas,ME302,3,A,"Orientation to mechanical engineering problem solving, design process, and professional tools.",ME,Introduction to Engineering Design and Graphics,raw_cleaned
4181142,2019,FALL,utexas,RHE306,3,CR,An introductory writing course that includes instruction in practical reasoning and the principles of rhetoric.,RHE,RHE306,raw_cleaned
4181142,2019,FALL,utexas,RTF306,3,A,"Survey of the aesthetic, cultural, economic, political, and technological trends impacting motion pictures around the world from their origins in the late nineteenth century through the present.",RTF,RTF306,raw_cleaned
4181142,2019,FALL,utexas,UGS303,3,A,"Seminar-style course emphasizing critical thinking, writing, and interdisciplinary exploration.",UGS,First-Year Signature Course,raw_cleaned
4181142,2020,FALL,utexas,M427L,4,B-,Multivariable methods and mathematical tools used in applied engineering analysis.,M,Advanced Calculus for Applications,raw_cleaned
4181142,2020,FALL,utexas,ME318M,3,A,"Applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to mechanical engineering problems.",ME,Programming and Engineering Computational Methods,raw_cleaned
4181142,2020,FALL,utexas,ME333T,3,A,"Professional communication skills for engineers, with emphasis on research, writing, and oral presentation on topics of social and technical significance in engineering.",ME,ME333T,raw_cleaned
4181142,2020,SPRING,utexas,ES122,1,CR,"Small-group seminar involving reading, discussion, and oral reports.",ES,ES122,raw_cleaned
4181142,2020,SPRING,utexas,GE208K,2,CR,Restricted to engineering majors. Development of problem-solving skills in the material covered in Physics 303K.,GE,GE208K,raw_cleaned
4181142,2020,SPRING,utexas,GOV312L,3,CR,"Analysis of underlying themes concerned with American political institutions and policies, including the United States Constitution.",GOV,GOV312L,raw_cleaned
