group_name,course_number,area
Gateway Electives,ME365D,data
Gateway Electives,ME350R,robotics
Gateway Electives,CS327E,data
Gateway Electives,ME343,thermal
Gateway Electives,ME337C,energy
Gateway Electives,ME378E,energy
Gateway Electives,ME336P,energy
Gateway Electives,ME337F,energy
Gateway Electives,ME336,energy
Gateway Electives,ME349,manufacturing
Gateway Electives,ME350,robotics
Gateway Electives,ME379N,manufacturing
Gateway Electives,ME368C,controls
Gateway Electives,ME371D,design
Gateway Electives,ME364L,computing
Gateway Electives,ME366L,data
Gateway Electives,ME369P,design
Gateway Electives,ME354M,materials
Gateway Electives,ME379M,robotics
