course_number,grade,term,grade_points
CH301,A,2022-FALL,4.0
M408D,A,2023-SPRING,4.0
UGS303,A,2023-SPRING,4.0
EM306,A,2023-FALL,4.0
ME316T,A,2023-FALL,4.0
M427J,A,2023-FALL,4.0
ES333T,A,2023-FALL,4.0
CS303E,A,2024-SPRING,4.0
ME302,A,2024-SPRING,4.0
ME318M,A,2024-SPRING,4.0
EM319,A,2024-SPRING,4.0
ME314D,A,2024-SPRING,4.0
ME335,A,2024-FALL,4.0
ME134L,A,2024-FALL,4.0
ME334,A,2024-FALL,4.0
ME130L,A,2024-FALL,4.0
ME330,A,2024-FALL,4.0
ME338,,2025-SPRING,
ME140L,,2025-SPRING,
ME340,,2025-SPRING,
ME139L,,2025-SPRING,
ME339,,2025-SPRING,
