student_id,profile_type,scenario_name,term,course_number,grade,credits
demo_early,early_stage,Early-stage student,2024-FALL,CH301,A-,3
demo_early,early_stage,Early-stage student,2024-FALL,M408D,B,4
demo_early,early_stage,Early-stage student,2024-FALL,CS303E,A,3
demo_early,early_stage,Early-stage student,2025-SPRING,M427J,B,4
demo_early,early_stage,Early-stage student,2025-SPRING,ME302,A-,3
demo_early,early_stage,Early-stage student,2025-SPRING,EM306,B+,3
demo_early,early_stage,Early-stage student,2025-SPRING,UGS303,A,3
demo_mid,mid_degree,Mid-degree student,2024-FALL,CH301,A-,3
demo_mid,mid_degree,Mid-degree student,2024-FALL,M408D,B,4
demo_mid,mid_degree,Mid-degree student,2024-FALL,CS303E,A,3
demo_mid,mid_degree,Mid-degree student,2025-SPRING,M427J,B,4
demo_mid,mid_degree,Mid-degree student,2025-SPRING,ME302,A-,3
demo_mid,mid_degree,Mid-degree student,2025-SPRING,EM306,B+,3
demo_mid,mid_degree,Mid-degree student,2025-FALL,EM319,B,3
demo_mid,mid_degree,Mid-degree student,2025-FALL,ME318M,A-,3
demo_mid,mid_degree,Mid-degree student,2025-FALL,ME316T,B+,3
demo_mid,mid_degree,Mid-degree student,2025-FALL,M427L,B-,4
demo_mid,mid_degree,Mid-degree student,2025-FALL,ES333T,A,3
demo_upper,upper_level,Upper-level student,2024-FALL,CH301,A-,3
demo_upper,upper_level,Upper-level student,2024-FALL,M408D,B,4
demo_upper,upper_level,Upper-level student,2024-FALL,CS303E,A,3
demo_upper,upper_level,Upper-level student,2025-SPRING,M427J,B,4
demo_upper,upper_level,Upper-level student,2025-SPRING,ME302,A-,3
demo_upper,upper_level,Upper-level student,2025-SPRING,EM306,B+,3
demo_upper,upper_level,Upper-level student,2025-FALL,EM319,B,3
demo_upper,upper_level,Upper-level student,2025-FALL,ME318M,A-,3
demo_upper,upper_level,Upper-level student,2025-FALL,ME316T,B+,3
demo_upper,upper_level,Upper-level student,2025-FALL,M427L,B-,4
demo_upper,upper_level,Upper-level student,2025-FALL,ES333T,A,3
demo_upper,upper_level,Upper-level student,2026-SPRING,ME330,B,3
demo_upper,upper_level,Upper-level student,2026-SPRING,ME130L,A,1
demo_upper,upper_level,Upper-level student,2026-SPRING,ME314D,B-,3
demo_upper,upper_level,Upper-level student,2026-SPRING,ME335,B+,3
demo_upper,upper_level,Upper-level student,2026-FALL,ME334,B,3
demo_upper,upper_level,Upper-level student,2026-FALL,ME134L,A,1
demo_upper,upper_level,Upper-level student,2026-FALL,ME338,A-,3
demo_upper,upper_level,Upper-level student,2026-FALL,ME339,B,3
demo_upper,upper_level,Upper-level student,2026-FALL,ME139L,A,1
demo_upper,upper_level,Upper-level student,2026-FALL,ME340,A-,3
demo_upper,upper_level,Upper-level student,2026-FALL,ME140L,A,1
demo_upper,upper_level,Upper-level student,2027-SPRING,ME344,B+,3
demo_upper,upper_level,Upper-level student,2027-SPRING,ME144L,A,1
demo_upper,upper_level,Upper-level student,2027-SPRING,ME353,A-,3
demo_upper,upper_level,Upper-level student,2027-SPRING,ME365D,A,3
demo_upper,upper_level,Upper-level student,2027-SPRING,CS327E,A-,3
